year,country,region,patient_uuid,age,alive,iso3
2024,IT,Europe,4fc15e14-8a52-454d-815c-3ab68efc5d92,63,True,ITA
2024,NL,Europe,b1c05da9-b928-4cbb-96c2-fb365af7d597,61,True,NLD
2024,US,Americas,e0f4e1eb-d676-44b3-affc-3dbde9848a8f,59,True,USA
2024,CU,Americas,6dfe24cb-2cff-45b8-90fa-744046be3dd9,55,True,CUB
2024,AZ,Asia,f1e15904-1e3f-4140-8de5-73ffbbf02b0c,54,True,AZE
2024,UA,Europe,1b92ca75-7663-4964-a93d-78789db4a857,54,True,UKR
2024,BD,Asia,876ed21d-89e5-480f-82b4-700263f61cb4,53,True,BGD
2024,IR,Asia,74b5bb22-2590-451f-b7b8-95afbda1ebe4,52,True,IRN
2024,JP,Asia,37459eaf-f584-49d0-8459-c83ceaf3cc4a,52,True,JPN
2024,JP,Asia,2704bf8a-0f67-43c3-aee9-999d7fdd2913,52,True,JPN
2024,FR,Europe,85e9c907-b984-4041-94ff-6eda1701bec7,52,True,FRA
2024,US,Americas,0d848b32-46e0-4e1f-b724-4f6cf628628e,51,True,USA
2024,MX,Americas,e63dea25-fd8c-4d02-8b75-402ab0030a51,50,True,MEX
2024,BR,Americas,9b18e112-4037-4a63-b982-33528a7d6913,50,True,BRA
2024,IN,Asia,308c26f3-f45b-450f-bcd9-e5f15230b049,50,True,IND
2024,IN,Asia,3417d79a-606d-455a-a6dd-66facf9bd777,50,True,IND
2024,IN,Asia,d3774dde-190d-4176-949a-aaa62bcffb3b,50,True,IND
2024,US,Americas,12ce54ab-9d2b-46bd-bd42-c17bb36e32a8,49,True,USA
2024,US,Americas,d9f417ac-cc70-4799-95c1-77a3eb3a903f,49,True,USA
2024,TR,Asia,773371f6-c0f1-4d88-88fc-feff910d8e4a,49,True,TUR
2024,CO,Americas,d1a0f164-a18e-4a3e-8954-81b77cbffbf6,48,True,COL
2024,MX,Americas,5b3edd5d-0999-4c8c-89ea-86538c75d3e9,48,True,MEX
2024,PK,Asia,ca5dc5fd-3f0a-4b30-815a-decb215110d2,48,True,PAK
2024,PK,Asia,a067a6ee-add6-4eae-a655-c03d1ff4e1a3,48,True,PAK
2024,MA,Africa,c26835bb-5e06-4bae-bf13-fd711805a8b0,48,True,MAR
2024,IN,Asia,c2d1f6de-a692-4ab4-b21b-d6684e7b6b02,48,True,IND
2024,IN,Asia,03ace9c9-7168-4ce0-95ae-081eacf520a5,48,True,IND
2024,SY,Asia,b94441b1-f560-4462-afdb-8c76b3895e16,47,True,SYR
2024,ID,Asia,27e7dde3-3b94-439c-abac-a447059f202d,47,True,IDN
2024,ZA,Africa,0ec97ef5-2c81-44ad-8e6c-d0172c4bab02,47,True,ZAF
2024,EG,Africa,ff1aeb44-be60-4943-809e-f089a7f2eefd,46,True,EGY
2024,EG,Africa,a1b9b351-4f80-42e8-b5a4-1b3fa4d8e8fa,46,True,EGY
2024,EG,Africa,dc06e7d0-8d5c-4f98-883b-df9c2dde854e,46,True,EGY
2024,ES,Europe,72ddf4ec-4732-4f6d-b19f-32f24e8104f1,46,True,ESP
2024,US,Americas,63cb58ce-b6eb-42b7-912c-fd5a9ac38bea,46,True,USA
2024,KP,Asia,74b3c4fe-bbcd-40d6-adae-2a59be1e2e64,46,True,PRK
2024,TR,Asia,a13c47d6-d22a-447c-af25-4f938d116638,46,True,TUR
2024,IT,Europe,4c1b02c9-8e4d-47bb-880f-4802319b6eab,45,True,ITA
2024,HT,Americas,8463e6b2-4a71-4139-b203-0bdef8380b6d,45,True,HTI
